,key,gender,age_range,language,dialect,sampling_rate,file_type,mic_type,recording_software
45,anonymous-20141116-lmn,Male,Youth,EN,European English,48000,wav,Laptop Built,VoxForge Speech Submission Application
46,mgmiller-20080319-toq,Male,Adult,EN,American English,48000,wav,Desktop Boom mic,VoxForge Speech Submission Application
47,anonymous-20120508-omp,Male,Adult,EN,British English,48000,wav,Studio mic,VoxForge Speech Submission Application
48,Ertain-20101126-abx,Male,Adult,EN,American English,48000,wav,Laptop Built,VoxForge Speech Submission Application
49,Steltek-20090509-evm,Male,Adult,EN,European English,48000,wav,Headset mic,VoxForge Speech Submission Application
50,KaloyanKolev-20080907-sdw,Male,Adult,EN,Other,48000,wav,Headset mic,VoxForge Speech Submission Application
51,mramige-20100820-qnp,Male,Adult,EN,American English,48000,wav,USB Headset mic,VoxForge Speech Submission Application
52,anonymous-20180721-lbg,Male,Adult,en,Canadian English,48000,wav,Laptop Built,standalone VoxForge speech submission application
53,tomhannen-20080410-tsg,Male,Adult,EN,British English,48000,wav,Laptop Built,VoxForge Speech Submission Application
54,anonymous-20120212-vfs,male,adult,EN,European English,48000,wav,unknown,VoxForge Speech Submission Application
55,PJ-20091206-zfv,Male,Adult,EN,European English,48000,wav,Headset mic,VoxForge Speech Submission Application
56,tester-20101209-ash,Male,Adult,EN,Other,48000,wav,Laptop Built,VoxForge Speech Submission Application
57,rortiz-20160226-sjk,Male,Adult,EN,American English,48000,wav,USB Headset mic,VoxForge Speech Submission Application
58,anonymous-20110312-bqz,Male,Adult,EN,American English,48000,wav,Laptop Built,VoxForge Speech Submission Application
59,danuker-20121226-mke,Male,Adult,EN,European English,48000,wav,Headset mic,VoxForge Speech Submission Application
60,Apple_Eater-20091026-yul,Male,Adult,EN,American English,48000,wav,Laptop Built,VoxForge Speech Submission Application
61,rmmg-20080715-nao,Male,Adult,EN,European English,48000,wav,Headset mic,VoxForge Speech Submission Application
62,ralfherzog-20080111-en46,male,N/A,N/A,General American English,N/A,FLAC,noise canceling headset,Audacity 1
63,Bahoke-20130721-qpx,Male,Adult,EN,American English,48000,wav,Headset mic,VoxForge Speech Submission Application
64,ralfherzog-20071120-en18,male,N/A,N/A,General American English,N/A,FLAC,noise canceling headset,Audacity 1
65,brdmb-20080603-uhv,Male,Adult,EN,American English,48000,wav,Desktop Boom mic,VoxForge Speech Submission Application
66,anonymous-20121023-gfg,Male,Adult,EN,American English,48000,wav,Studio mic,VoxForge Speech Submission Application
67,Kyton-20081201-uan,Male,Adult,EN,Canadian English,48000,wav,Desktop Boom mic,VoxForge Speech Submission Application
68,farmerjack-20080829-hcp,Male,Adult,EN,European English,48000,wav,Headset mic,VoxForge Speech Submission Application
69,Mikethecoach-20111106-btf,Male,Adult,EN,British English,48000,wav,Headset mic,VoxForge Speech Submission Application
70,Otuyelu-20101107-crp,Male,Adult,EN,Other,48000,wav,Headset mic,VoxForge Speech Submission Application
71,anonymous-20121106-uew,Male,Adult,EN,Australian English,48000,wav,Headset mic,VoxForge Speech Submission Application
72,sharrington-20081018-zkw,Male,Adult,EN,American English,48000,wav,Laptop Built,VoxForge Speech Submission Application
73,camdixon-20141207-ooo,Male,Adult,EN,American English,48000,wav,Headset mic,VoxForge Speech Submission Application
74,unbridledrage-20090106-lpl,Male,Adult,EN,American English,48000,wav,Headset mic,VoxForge Speech Submission Application
75,joel-20091116-ehr,Male,Adult,EN,American English,48000,wav,Laptop Built,VoxForge Speech Submission Application
76,hchauhan-20160614-xgq,Male,Adult,EN,Indian English,48000,wav,USB Headset mic,VoxForge Speech Submission Application
77,Steltek-20090530-ogw,Male,Adult,EN,European English,48000,wav,Headset mic,VoxForge Speech Submission Application
78,farmerjack-20080915-xbp,Male,Adult,EN,European English,48000,wav,Headset mic,VoxForge Speech Submission Application
79,pcsnpny-20170303-bpn,Male,Adult,EN,American English,48000,wav,Other,VoxForge Speech Submission Application
80,anonymous-20110611-jub,Male,Adult,EN,other,48000,wav,Headset mic,VoxForge Speech Submission Application
81,anonymous-20080701-quq,Male,Adult,EN,American English,48000,wav,Desktop Boom mic,VoxForge Speech Submission Application
82,anonymous-20100421-ksh,Male,Adult,EN,Other,48000,wav,Headset mic,VoxForge Speech Submission Application
83,PheonixK-20080824-wte,Male,Adult,EN,American English,48000,wav,Desktop Boom mic,VoxForge Speech Submission Application
84,kmitch-20100603-ftd,Male,Youth,EN,American English,48000,wav,Headset mic,VoxForge Speech Submission Application
85,sponsellerfd-20100909-tmb,Male,Adult,EN,American English,48000,wav,Headset mic,VoxForge Speech Submission Application
86,Socapex-20101027-rei,Male,Adult,EN,Other,48000,wav,Laptop Built,VoxForge Speech Submission Application
87,danuthaiduc-20080129-our,Male,Youth,EN,European English,48000,wav,Headset mic,VoxForge Speech Submission Application
88,rocketman768-20080408-ejx,Male,Youth,EN,American English,48000,wav,Headset mic,VoxForge Speech Submission Application
89,robin-20070301-vf8,male,N/A,N/A,British English ,N/A,wav,N/A,Audacity rel 1
90,camdixon-20130819-kfz,Male,Adult,EN,American English,48000,wav,Laptop Built,VoxForge Speech Submission Application
91,anonymous-20080623-suj,Male,Adult,EN,American English,48000,wav,Laptop Built,VoxForge Speech Submission Application
92,jamincollins-20081108-slm,Male,Adult,EN,American English,48000,wav,Headset mic,VoxForge Speech Submission Application
93,anonymous-20120228-xxx,Male,Senior,EN,Other,48000,wav,Headset mic,VoxForge Speech Submission Application
94,anonymous-20100106-jij,Male,Adult,EN,Other,48000,wav,Laptop Built,VoxForge Speech Submission Application
95,asp-20091228-inn,Male,Adult,EN,American English,48000,wav,Laptop Built,VoxForge Speech Submission Application
96,RainCT-20130225-fjn,Male,Youth,EN,Other,48000,wav,Headset mic,VoxForge Speech Submission Application
97,anonymous-20090121-hkf,Male,Youth,EN,Australian English,48000,wav,Headset mic,VoxForge Speech Submission Application
98,anonymous-20170610-zzo,Male,Adult,EN,British English,48000,wav,USB Headset mic,standalone VoxForge speech submission application
99,tsmock-20111112-ava,Male,Adult,EN,American English,48000,wav,Headset mic,VoxForge Speech Submission Application
100,anonymous-20111029-lve,male,adult,EN,American English,48000,wav,unknown,VoxForge Speech Submission Application
101,pcsnpny-20150303-wuk,Male,Adult,EN,American English,48000,wav,Other,VoxForge Speech Submission Application
102,anonymous-20130521-cpd,Male,Adult,EN,other,48000,wav,Laptop Built,VoxForge Speech Submission Application
103,Sid-20130530-xpq,Male,Adult,EN,Indian English,48000,wav,Laptop Built,VoxForge Speech Submission Application
104,anonymous-20100522-ccn,Male,Adult,EN,European English,48000,wav,Headset mic,VoxForge Speech Submission Application
105,corno1979-20081220-yrz,Male,Adult,EN,American English,48000,wav,Desktop Boom mic,VoxForge Speech Submission Application
106,bjb-20120409-cao,Female,Adult,EN,Canadian English,48000,wav,Desktop Boom mic,VoxForge Speech Submission Application
107,pcsnpny-20150321-ucd,Male,Adult,EN,American English,48000,wav,Other,VoxForge Speech Submission Application
108,anonymous-25571202-coo,Male,Youth,EN,Other,48000,wav,Laptop Built,VoxForge Speech Submission Application
109,anonymous-20090727-dmh,Male,Adult,EN,European English,48000,wav,Headset mic,VoxForge Speech Submission Application
110,anonymous-20080912-wcp,Male,Adult,EN,American English,48000,wav,Laptop Built,VoxForge Speech Submission Application
111,anonymous-20100731-xsj,Female,Adult,EN,American English,48000,wav,Laptop Built,VoxForge Speech Submission Application
112,anonymous-20100821-krt,Male,Adult,EN,American English,48000,wav,Laptop Built,VoxForge Speech Submission Application
113,bendra-20141108-xnz,Male,Adult,EN,American English,48000,wav,Laptop Built,VoxForge Speech Submission Application
114,Georgio-20100123-efd,Male,Adult,EN,American English,48000,wav,Headset mic,VoxForge Speech Submission Application
115,theduke-20130523-fvy,Male,Adult,EN,European English,48000,wav,Headset mic,VoxForge Speech Submission Application
116,Ronin-20080326-odz,Male,Adult,EN,European English,48000,wav,Headset mic,VoxForge Speech Submission Application
117,anonymous-20131204-bil,Male,Adult,EN,British English,48000,wav,Desktop Boom mic,VoxForge Speech Submission Application
118,tozden-20090830-lfh,Male,Adult,EN,Other,48000,wav,Headset mic,VoxForge Speech Submission Application
119,anonymous-20090210-vmj,Female,Youth,EN,Canadian English,48000,wav,Laptop Built,VoxForge Speech Submission Application
120,anonymous-20120306-wee,Male,Adult,EN,American English,48000,wav,Headset mic,VoxForge Speech Submission Application
121,gmureddu-20161030-wwm,Male,Adult,EN,American English,48000,wav,Headset mic,VoxForge Speech Submission Application
122,anonymous-20130609-dyj,Male,Youth,EN,European English,48000,wav,Laptop Built,VoxForge Speech Submission Application
123,anonymous-20100311-sdi,Female,Adult,EN,American English,48000,wav,USB Headset mic,VoxForge Speech Submission Application
124,anonymous-20090121-own,Male,Youth,EN,American English,48000,wav,Headset mic,VoxForge Speech Submission Application
125,neuralnet-20090503-xkf,Male,Adult,EN,British English,48000,wav,Laptop Built,VoxForge Speech Submission Application
126,DavidL-20091117-bnh,Male,Adult,EN,Australian English,48000,wav,Laptop Built,VoxForge Speech Submission Application
127,anonymous-20080929-fuw,Male,Adult,EN,American English,48000,wav,USB Headset mic,VoxForge Speech Submission Application
128,anonymous-20090417-lyd,Male,Adult,EN,Indian English,48000,wav,Headset mic,VoxForge Speech Submission Application
129,pcsnpny-20150303-gay,Male,Adult,EN,American English,48000,wav,Other,VoxForge Speech Submission Application
130,grnorton-20080516-vlg,Male,Adult,EN,Australian English,48000,wav,USB Desktop Boom mic,VoxForge Speech Submission Application
131,anonymous-20110219-syz,Female,Adult,EN,British English,48000,wav,Laptop Built,VoxForge Speech Submission Application
132,TJS-20090115-jsy,Male,Adult,EN,Canadian English,48000,wav,Headset mic,VoxForge Speech Submission Application
133,anonymous-20100820-irk,Male,Adult,EN,American English,48000,wav,USB Headset mic,VoxForge Speech Submission Application
134,PoHandle-20091222-wby,Male,Adult,EN,American English,48000,wav,Headset mic,VoxForge Speech Submission Application
135,Q-20150512-gyj,Male,Youth,EN,American English,48000,wav,Laptop Built,VoxForge Speech Submission Application
136,mertyildiran-20150422-yie,Male,Youth,EN,American English,48000,wav,USB Headset mic,VoxForge Speech Submission Application
137,Saul-20080221-arb,Male,Adult,EN,American English,48000,wav,USB Headset mic,VoxForge Speech Submission Application
138,helpinghand-20120501-tvw,Male,Adult,EN,American English,48000,wav,WebCam mic,VoxForge Speech Submission Application
139,rortiz-20151013-iwe,Male,Adult,EN,American English,48000,wav,USB Headset mic,VoxForge Speech Submission Application
140,anonymous-20120726-kux,Male,Adult,EN,Other,48000,wav,Headset mic,VoxForge Speech Submission Application
141,anonymous-20090605-ndd,Male,Adult,EN,Canadian English,48000,wav,Headset mic,VoxForge Speech Submission Application
142,john_doe-20160427-yss,Male,Adult,EN,European English,48000,wav,Headset mic,VoxForge Speech Submission Application
143,anonymous-20110527-vmn,Male,Adult,EN,European English,48000,wav,Headset mic,VoxForge Speech Submission Application
144,jaiger-12032006-3,male,N/A,N/A,General American English,N/A,wav,N/A,Audacity 1
145,surgemcgee-20120722-oia,Male,Adult,EN,American English,48000,wav,Desktop Boom mic,VoxForge Speech Submission Application
146,anonymous-20080216-yrh,Male,Youth,EN,Other,48000,wav,Headset mic,VoxForge Speech Submission Application
147,pcsnpny-20150221-roa,Male,Adult,EN,American English,48000,wav,Other,VoxForge Speech Submission Application
148,btr-20090830-msm,Male,Adult,EN,American English,48000,wav,Other,VoxForge Speech Submission Application
149,cyteen-20130524-ytk,Male,Adult,EN,British English,48000,wav,Laptop Built,VoxForge Speech Submission Application
150,anonymous-20141225-oiy,Male,Adult,EN,Indian English,48000,wav,Headset mic,VoxForge Speech Submission Application
151,farmerjack-20080828-mpc,Male,Adult,EN,European English,48000,wav,Headset mic,VoxForge Speech Submission Application
152,tb-20110210-sbj,Male,Adult,EN,Australian English,48000,wav,USB Headset mic,VoxForge Speech Submission Application
153,surgemcgee-20120720-oob,Male,Adult,EN,American English,48000,wav,Desktop Boom mic,VoxForge Speech Submission Application
154,Rain-20120720-tro,Male,Youth,EN,British English,48000,wav,Headset mic,VoxForge Speech Submission Application
155,bonzer-20090919-fxu,Male,Adult,EN,British English,48000,wav,Headset mic,VoxForge Speech Submission Application
156,anonymous-20111028-wrq,Male,Adult,EN,American English,48000,wav,USB Headset mic,VoxForge Speech Submission Application
157,farmerjack-20080915-byh,Male,Adult,EN,European English,48000,wav,Headset mic,VoxForge Speech Submission Application
158,anonymous-20140127-vtg,Male,Adult,EN,British English,48000,wav,Laptop Built,VoxForge Speech Submission Application
159,anonymous-20150525-cvc,Male,Adult,EN,Other,48000,wav,Studio mic,VoxForge Speech Submission Application
160,grav-20091226-qox,Male,Adult,EN,European English,48000,wav,Laptop Built,VoxForge Speech Submission Application
161,anonymous-20080426-ned,male,adult,EN,British English,48000,wav,unknown,VoxForge Speech Submission Application
162,anonymous-20080621-img,Female,Adult,EN,American English,48000,wav,Laptop Built,VoxForge Speech Submission Application
163,anonymous-20080130-gxn,Male,Adult,EN,European English,48000,wav,Headset mic,VoxForge Speech Submission Application
164,anonymous-20121124-emu,Male,Youth,EN,Indian English,48000,wav,Laptop Built,VoxForge Speech Submission Application
165,camdixon-20130819-xdf,Male,Adult,EN,American English,48000,wav,Laptop Built,VoxForge Speech Submission Application
166,anonymous-20080517-tca,Male,Adult,EN,American English,48000,wav,Laptop Built,VoxForge Speech Submission Application
167,Eresus-20090416-zdx,Male,Adult,EN,European English,48000,wav,Laptop Built,VoxForge Speech Submission Application
168,doublesfrogs-20150224-lef,Male,Adult,EN,Canadian English,48000,wav,WebCam mic,VoxForge Speech Submission Application
169,akiplaner-20091219-fyp,Male,Adult,EN,European English,48000,wav,Headset mic,VoxForge Speech Submission Application
170,pcsnpny-20150221-qyh,Male,Adult,EN,American English,48000,wav,Other,VoxForge Speech Submission Application
171,ColinBeckingham-20091214-jbh,Male,Senior,EN,British English,48000,wav,USB Headset mic,VoxForge Speech Submission Application
172,Angus-20080320-sdh,Male,Adult,EN,British English,48000,wav,USB Desktop Boom mic,VoxForge Speech Submission Application
173,mik077-20151017-pzg,Male,Adult,EN,Australian English,48000,wav,USB Desktop Boom mic,VoxForge Speech Submission Application
174,Berrym-20101102-aiv,Male,Adult,EN,American English,48000,wav,Laptop Built,VoxForge Speech Submission Application
175,zhihuich-20130615-xey,Male,Adult,EN,American English,48000,wav,WebCam mic,VoxForge Speech Submission Application
176,rick271828-20081014-eyh,Male,Adult,EN,American English,48000,wav,Laptop Built,VoxForge Speech Submission Application
177,dbagnall-20130125-ffy,Male,Adult,EN,New Zealand English,48000,wav,Laptop Built,VoxForge Speech Submission Application
178,anonymous-20100529-fcn,Male,Adult,EN,European English,48000,wav,Laptop Built,VoxForge Speech Submission Application
179,camdixon-20141207-lpr,Male,Adult,EN,American English,48000,wav,Headset mic,VoxForge Speech Submission Application
180,src105-20090728-yal,Male,Adult,EN,American English,48000,wav,Laptop Built,VoxForge Speech Submission Application
181,anonymous-20110428-fgs,Male,Adult,EN,Other,48000,wav,WebCam mic,VoxForge Speech Submission Application
182,anonymous-20090917-ppu,Female,Adult,EN,American English,48000,wav,Laptop Built,VoxForge Speech Submission Application
183,anonymous-20110112-gai,Male,Adult,EN,American English,48000,wav,Headset mic,VoxForge Speech Submission Application
184,Terminus-20091217-fgp,Male,Adult,EN,New Zealand English,48000,wav,Headset mic,VoxForge Speech Submission Application
185,flagship172007-20130623-nhi,Male,Adult,EN,American English,48000,wav,Headset mic,VoxForge Speech Submission Application
186,sakurairo-20120315-pit,Female,Adult,EN,American English,48000,wav,Headset mic,VoxForge Speech Submission Application
187,anonymous-20110322-kiw,male,adult,EN,British English,48000,wav,Laptop Built,VoxForge Speech Submission Application
188,anonymous-20111129-ttg,Male,Senior,EN,European English,48000,wav,USB Headset mic,VoxForge Speech Submission Application
189,ralfherzog-20071206-en31,male,N/A,N/A,General American English,N/A,FLAC,noise canceling headset,Audacity 1
190,Jeremy-20120107-qtq,Male,Adult,EN,Australian English,48000,wav,Laptop Built,VoxForge Speech Submission Application
191,subin-20101023-xzx,Male,Youth,EN,Indian English,48000,wav,Laptop Built,VoxForge Speech Submission Application
192,anonymous-20100106-myn,Male,Adult,EN,Other,48000,wav,Laptop Built,VoxForge Speech Submission Application
193,samfindlay-20141106-ozr,Male,Adult,EN,Australian English,48000,wav,Headset mic,VoxForge Speech Submission Application
194,mark-20130813-wdz,Male,Adult,EN,British English,48000,wav,USB Headset mic,VoxForge Speech Submission Application
195,anonymous-20100121-qfq,Male,Youth,EN,American English,48000,wav,Desktop Boom mic,VoxForge Speech Submission Application
196,anonymous-20130106-stv,Male,Adult,EN,British English,48000,wav,USB Headset mic,VoxForge Speech Submission Application
197,volkerbradley-20121231-zli,Male,Senior,EN,American English,48000,wav,USB Headset mic,VoxForge Speech Submission Application
198,danuker-20121226-kgp,Male,Adult,EN,European English,48000,wav,Headset mic,VoxForge Speech Submission Application
199,anonymous-20111102-hjx,Male,Adult,EN,British English,48000,wav,Laptop Built,VoxForge Speech Submission Application
200,anonymous-20090901-yfo,Male,Adult,EN,American English,48000,wav,Laptop Built,VoxForge Speech Submission Application
201,prometheus-20110725-pkz,Male,Adult,EN,Other,48000,wav,Headset mic,VoxForge Speech Submission Application
202,anonymous-20080617-bhy,Male,Adult,EN,British English,48000,wav,Laptop Built,VoxForge Speech Submission Application
203,anonymous-20100727-ujn,Male,Adult,EN,European English,48000,wav,Laptop Built,VoxForge Speech Submission Application
204,Anniepoo-20140308-hns,Female,Adult,EN,American English,48000,wav,Headset mic,VoxForge Speech Submission Application
205,bennmann-20091102-apc,Male,Youth,EN,American English,48000,wav,Laptop Built,VoxForge Speech Submission Application
206,anonymous-20100109-jkc,Male,Adult,EN,Irish English,48000,wav,Headset mic,VoxForge Speech Submission Application
207,anonymous-20090121-bgm,Male,Adult,EN,European English,48000,wav,Laptop Built,VoxForge Speech Submission Application
208,anonymous-20120423-bmx,Male,Adult,EN,British English,48000,wav,Headset mic,VoxForge Speech Submission Application
209,phil-20080215-sog,Male,Adult,EN,British English,48000,wav,Desktop Boom mic,VoxForge Speech Submission Application
210,J0hnny_b14z3-20111219-rjo,Male,Adult,EN,American English,48000,wav,Laptop Built,VoxForge Speech Submission Application
211,alufers-20140918-gdm,Male,Youth,EN,European English,48000,wav,Desktop Boom mic,VoxForge Speech Submission Application
212,anonymous-20071115-aam,Male,Adult,N/A,Canadian English,48000,wav,N/A,VoxForge Speech Submission Application
213,anonymous-20081025-omh,Male,Adult,EN,American English,48000,wav,Laptop Built,VoxForge Speech Submission Application
214,brendan-20160212-ang,Female,Adult,EN,British English,48000,wav,Laptop Built,VoxForge Speech Submission Application
215,locked-20080927-cc,male,N/A,EN,European English,N/A,WAV,desktop boom mic,Audacity rel 1
216,Decent-20110516-hmv,Male,Adult,EN,British English,48000,wav,USB Desktop Boom mic,VoxForge Speech Submission Application
217,jaiger-12032006-4,male,N/A,N/A,General American English,N/A,wav,N/A,Audacity 1
218,anonymous-20130604-syj,Male,Adult,EN,Other,48000,wav,Headset mic,VoxForge Speech Submission Application
219,anonymous-20150224-wed,Male,Adult,EN,Canadian English,48000,wav,WebCam mic,VoxForge Speech Submission Application
220,bonzer-20090919-nxc,Male,Adult,EN,British English,48000,wav,Headset mic,VoxForge Speech Submission Application
221,anonymous-20141201-rie,Male,Adult,EN,American English,48000,wav,Headset mic,VoxForge Speech Submission Application
222,anonymous-20161109-ker,Male,Adult,EN,American English,48000,wav,Laptop Built,VoxForge Speech Submission Application
223,pcsnpny-20150204-acw,Male,Adult,EN,American English,48000,wav,Other,VoxForge Speech Submission Application
224,azmisov-20140428-cyp,Male,Adult,EN,American English,48000,wav,Laptop Built,VoxForge Speech Submission Application
225,anonymous-20101011-mld,Male,Adult,EN,American English,48000,wav,Laptop Built,VoxForge Speech Submission Application
226,pcsnpny-20150205-vhp,Male,Adult,EN,American English,48000,wav,Other,VoxForge Speech Submission Application
227,anonymous-20141225-hvb,Male,Adult,EN,Indian English,48000,wav,Headset mic,VoxForge Speech Submission Application
228,anonymous-20081212-tss,Male,Youth,EN,British English,48000,wav,Headset mic,VoxForge Speech Submission Application
229,anonymous-20100207-bse,Male,Adult,EN,American English,48000,wav,Headset mic,VoxForge Speech Submission Application
230,anonymous-20090323-jnf,Male,Adult,EN,Canadian English,48000,wav,Laptop Built,VoxForge Speech Submission Application
231,AslakKnutsen-20140314-bje,Male,Adult,EN,European English,48000,wav,Laptop Built,VoxForge Speech Submission Application
232,anonymous-20150512-taa,Male,Youth,EN,American English,48000,wav,Laptop Built,VoxForge Speech Submission Application
233,robin-20070411-vf23,male,N/A,N/A,British English ,N/A,wav,N/A,Audacity rel 1
234,Shane-20080602-kmc,Male,Adult,EN,American English,48000,wav,Laptop Built,VoxForge Speech Submission Application
235,corno1979-20080520-agj,Male,Adult,EN,American English,48000,wav,Desktop Boom mic,VoxForge Speech Submission Application
236,Aaron-20080318-pwn,Male,Adult,EN,New Zealand English,48000,wav,Headset mic,VoxForge Speech Submission Application
237,anonymous-20090913-ywf,Male,Adult,EN,Canadian English,48000,wav,Laptop Built,VoxForge Speech Submission Application
238,thelinuxer-20100125-uif,Male,Adult,EN,American English,48000,wav,Headset mic,VoxForge Speech Submission Application
239,kimkaromi-20140605-wot,Female,Adult,EN,British English,48000,wav,USB Headset mic,VoxForge Speech Submission Application
240,anonymous-20080520-aqx,Male,Adult,EN,American English,48000,wav,Headset mic,VoxForge Speech Submission Application
241,pcsnpny-20150820-iwe,Male,Adult,EN,American English,48000,wav,Other,VoxForge Speech Submission Application
242,anonymous-20090218-dec,Male,Adult,EN,American English,48000,wav,Laptop Built,VoxForge Speech Submission Application
243,Aaron-20080318-liy,Male,Adult,EN,New Zealand English,48000,wav,Headset mic,VoxForge Speech Submission Application
244,anonymous-20140526-rjv,Male,Adult,EN,Indian English,48000,wav,Laptop Built,VoxForge Speech Submission Application
245,jtmiles-20090618-zga,Male,Adult,EN,American English,48000,wav,Headset mic,VoxForge Speech Submission Application
246,camdixon-20141207-dvz,Male,Adult,EN,American English,48000,wav,Headset mic,VoxForge Speech Submission Application
247,anonymous-20110406-tmh,Male,Youth,EN,British English,48000,wav,USB Headset mic,VoxForge Speech Submission Application
248,danuker-20121226-vfk,Male,Adult,EN,European English,48000,wav,Laptop Built,VoxForge Speech Submission Application
249,camdixon-20141207-fvp,Male,Adult,EN,American English,48000,wav,Headset mic,VoxForge Speech Submission Application
250,anonymous-20120117-wqo,Male,Adult,EN,New Zealand English,48000,wav,Laptop Built,VoxForge Speech Submission Application
251,anonymous-20120914-dch,Male,Adult,EN,European English,48000,wav,Studio mic,VoxForge Speech Submission Application
252,topherfangio-20080604-egr,Male,Adult,EN,American English,48000,wav,USB Headset mic,VoxForge Speech Submission Application
253,anonymous-20090927-gzu,Male,Youth,EN,British English,48000,wav,Other,VoxForge Speech Submission Application
