,filename,gender,sampling_rate,dialect,source,mic_type,pitch,intonation,f1_diff,f2_diff,duration,resonance,pred,proba,correct
4797,./audio_data/voxforge/anonymous-20131203-gjy/wav/a0243.wav,male,48000,American English,VoxForge,usb headset mic,136.6866871179284,45.89133771348066,0.2606964111328125,-105.39950561523438,4.0,-105.13880920410156,female,0.41912472902914066,False
4757,./audio_data/voxforge/kfinity-20130330-olx/wav/a0228.wav,male,48000,American English,VoxForge,usb headset mic,124.31143545119734,36.40297226749126,-56.38311767578125,-144.847412109375,3.75,-201.23052978515625,male,0.5256693804561452,True
2625,./audio_data/voxforge/camdixon-20130819-gxo/wav/a0170.wav,male,48000,American English,VoxForge,laptop built,151.6357306000452,13.99632446782201,-133.83729044596353,104.00050184461806,3.875,-29.836788601345475,male,0.6243218154394626,True
1711,./audio_data/voxforge/Anniepoo-20140308-zwy/wav/b0502.wav,female,48000,American English,VoxForge,headset mic,156.49187482436662,44.75302235389108,0.5842742919921875,-209.9139404296875,3.75,-209.3296661376953,female,0.4344806582306582,True
4202,./audio_data/voxforge/rortiz-20100203-oxw/wav/b0297.wav,male,48000,American English,VoxForge,usb headset mic,127.63966164222508,42.17507265064577,22.19100952148437,-102.00045776367188,5.875,-79.8094482421875,female,0.3896291500467196,False
4906,./audio_data/voxforge/anonymous-20130309-juw/wav/b0175.wav,male,48000,American English,VoxForge,laptop built,146.18412903912554,44.71104876253551,-2.7840474446614585,-200.31266276041663,4.375,-203.0967102050781,female,0.40518749306249285,False
280,./audio_data/voxforge/anonymous-20101030-emu/wav/a0203.wav,female,48000,American English,VoxForge,laptop built,146.51202224899075,42.67866022606973,65.1202392578125,-83.4169921875,7.75,-18.2967529296875,female,0.3856338473617887,True
3487,./audio_data/voxforge/camdixon-20141207-qqp/wav/b0224.wav,male,48000,American English,VoxForge,headset mic,149.88588522526152,25.04304221104001,62.107247488839285,-157.6246337890625,5.25,-95.51738630022322,female,0.454108882130941,False
2031,./audio_data/voxforge/Anniepoo-20140308-zwy/wav/b0497.wav,female,48000,American English,VoxForge,headset mic,124.44954867999148,37.9531107005421,-18.49913460867745,-96.617919921875,7.0,-115.11705453055245,female,0.3200640258434377,True
3788,./audio_data/voxforge/anonymous-20150513-gxb/wav/a0026.wav,male,48000,Canadian English,VoxForge,laptop built,144.5188506065913,44.22618931565704,-29.801055908203125,-228.7356289950284,5.875,-258.5366849032315,male,0.5193771367521367,True
